"num_inter","n_study","n_noPowerLaw_study","n_powerLaw_study","n_powerLaw_ntail50_study","n_powerLaw_ntail50_alpha_study","ratio"
">= 8","3646","441","986","51","37",0.447261663286004
">= 20","1238","329","394","51","37",0.83502538071066
">= 50","600","236","103","49","36",2.29126213592233
">= 100","395","176","67","43","31",2.62686567164179
">= 150","304","146","50","36","29",2.92
">= 200","254","137","38","32","27",3.60526315789474
">= 250","214","120","32","28","23",3.75
">= 300","189","108","31","28","23",3.48387096774194
">= 350","163","96","28","27","22",3.42857142857143
">= 400","152","88","28","27","22",3.14285714285714
">= 450","137","83","25","24","19",3.32
">= 500","128","80","23","22","17",3.47826086956522
